iris_id,insee_commune_id,commune_name,place_in_commune,has_income_data
010040101,01004,Ambérieu-en-Bugey,Les Pérouses-Triangle d'Activités,True
010040102,01004,Ambérieu-en-Bugey,Longeray-Gare,True
010040201,01004,Ambérieu-en-Bugey,Centre-Saint-Germain-Vareilles,True
010040202,01004,Ambérieu-en-Bugey,Tiret-Les Allymes,True
010330102,01033,Valserhône,Centre Ville,True
010330103,01033,Valserhône,Lancrans-Coupy-Vanchy,True
010330201,01033,Valserhône,Arc Vouvray-Gare-Châtillon,True
010330202,01033,Valserhône,Plateau de Musinens,True
010330301,01033,Valserhône,Arlod,True
010330401,01033,Valserhône,Châtillon-en-Michaille,True
010340101,01034,Belley,Ouest,True
010340102,01034,Belley,Centre et Est,True
010340103,01034,Belley,Sud-Ouest,True
010530101,01053,Bourg-en-Bresse,Centre Ville,True
010530102,01053,Bourg-en-Bresse,Champ de Foire,True
010530103,01053,Bourg-en-Bresse,Préfecture,True
010530201,01053,Bourg-en-Bresse,Citadelle,True
010530202,01053,Bourg-en-Bresse,Mail,True
010530203,01053,Bourg-en-Bresse,Peloux,True
010530301,01053,Bourg-en-Bresse,Gare,True
010530302,01053,Bourg-en-Bresse,Brou,True
010530401,01053,Bourg-en-Bresse,Vennes Ouest,True
010530402,01053,Bourg-en-Bresse,Vennes Est,True
010530501,01053,Bourg-en-Bresse,Baudières,True
010530502,01053,Bourg-en-Bresse,Sardières,True
010530503,01053,Bourg-en-Bresse,Croix Blanche,True
010530601,01053,Bourg-en-Bresse,Pont des Chèvres,True
010530602,01053,Bourg-en-Bresse,Reyssouze Ouest,True
010530603,01053,Bourg-en-Bresse,Reyssouze Est,True
010530604,01053,Bourg-en-Bresse,Cenord-Grand Challes,True
010530701,01053,Bourg-en-Bresse,Granges Bardes-Alagnier,True
011430101,01143,Divonne-les-Bains,Centre,True
011430102,01143,Divonne-les-Bains,Nord-Ouest,True
011430103,01143,Divonne-les-Bains,Sud-Ouest,True
011600101,01160,Ferney-Voltaire,Ouest,True
011600102,01160,Ferney-Voltaire,Centre,True
011600103,01160,Ferney-Voltaire,Est,True
011730101,01173,Gex,Centre,True
011730102,01173,Gex,Ouest,True
011730103,01173,Gex,Est,True
011940101,01194,Jassans-Riottier,Nord,True
011940102,01194,Jassans-Riottier,Sud,True
012020101,01202,Lagnieu,Nord,True
012020102,01202,Lagnieu,Sud,True
012440101,01244,Meximieux,L'Horloge,True
012440102,01244,Meximieux,La Colline,True
012440103,01244,Meximieux,L'Étang,True
012490101,01249,Miribel,Est,True
012490102,01249,Miribel,Centre,True
012490103,01249,Miribel,Ouest,True
012620101,01262,Montluel,Nord,True
012620102,01262,Montluel,Sud,True
012830102,01283,Oyonnax,ZUS Centre,True
012830103,01283,Oyonnax,ZUS Nord-Est,True
012830104,01283,Oyonnax,ZUS Ouest,True
012830201,01283,Oyonnax,Ville Sud,True
012830202,01283,Oyonnax,Ville Est,True
012830203,01283,Oyonnax,Nierme et Geilles,True
012830301,01283,Oyonnax,Ville Ouest,True
012830302,01283,Oyonnax,Parc Industriel Nord,False
012830303,01283,Oyonnax,Ville Nord,True
012830304,01283,Oyonnax,Extérieur Est,True
012830305,01283,Oyonnax,Veyziat,True
012830306,01283,Oyonnax,Bouvent,False
012890101,01289,Péronnas,Centre,True
012890102,01289,Péronnas,Périphérie,True
013540101,01354,Saint-Genis-Pouilly,Ouest,True
013540102,01354,Saint-Genis-Pouilly,Est,True
013540103,01354,Saint-Genis-Pouilly,Centre,True
014270101,01427,Trévoux,Ouest,True
014270102,01427,Trévoux,Est,True
014510101,01451,Viriat,Nord et Ouest,True
014510102,01451,Viriat,Centre et Sud-Est,True
021680101,02168,Château-Thierry,Centre,True
021680201,02168,Château-Thierry,Chesneaux,True
021680301,02168,Château-Thierry,Zone Industrielle,False
021680401,02168,Château-Thierry,Mare Aubry,True
021680501,02168,Château-Thierry,Vaucrises,True
021680601,02168,Château-Thierry,Gerbrois-Saint-Martin-Le Buisson-Vincelles,True
021680701,02168,Château-Thierry,Blanchard,True
021730101,02173,Chauny,Nord-Ouest,True
021730201,02173,Chauny,Sud-Ouest,True
021730301,02173,Chauny,Nord-Est,True
023400101,02340,Gauchy,Nord,True
023400201,02340,Gauchy,Centre,True
023400301,02340,Gauchy,Sud,True
023810101,02381,Hirson,Centre Ville,True
023810201,02381,Hirson,Champ Roland,True
023810301,02381,Hirson,Europe Futaie,True
023810401,02381,Hirson,Champs Élysées,True
024080101,02408,Laon,Saint-Exupéry-Moulin Roux,True
024080102,02408,Laon,Centre Social,False
024080103,02408,Laon,La Fontaine,False
024080201,02408,Laon,Cité du Nord,True
024080301,02408,Laon,Gare Saint-Marcel,True
024080401,02408,Laon,Individuels,True
024080402,02408,Laon,Prévert-Maraîchers,True
024080501,02408,Laon,Plateau,True
024080601,02408,Laon,Vaux,True
024080701,02408,Laon,Zone Industrielle,False
024080801,02408,Laon,Montreuil-La Neuville-Marquette,True
024080901,02408,Laon,Ardon-Leuilly-Semilly,True
026910101,02691,Saint-Quentin,Centre Ville 1,True
026910102,02691,Saint-Quentin,Centre Ville 2,True
026910103,02691,Saint-Quentin,Centre Ville 3,True
026910104,02691,Saint-Quentin,Centre Ville 4,True
