iris_id,commune_name,place_in_commune,menages_fiscaux_imposes_pct,taux_bas_revenus_pct,revenu_q1_eur,revenu_median_eur,revenu_q3_eur,revenu_d1_eur,revenu_d9_eur,part_revenus_activite_pct,part_pensions_pct,part_autres_revenus_pct
010040101,Ambérieu-en-Bugey,Les Pérouses-Triangle d'Activités,43.0,29.0,12610.0,19330.0,26390.0,7760.0,33850.0,69.3,27.1,3.6
010040102,Ambérieu-en-Bugey,Longeray-Gare,42.0,39.0,9730.0,16830.0,24620.0,4680.0,33030.0,70.5,25.6,3.9
010040201,Ambérieu-en-Bugey,Centre-Saint-Germain-Vareilles,47.0,29.0,12220.0,19940.0,27650.0,6500.0,37220.0,69.3,26.7,4.0
010040202,Ambérieu-en-Bugey,Tiret-Les Allymes,62.0,14.0,18350.0,25560.0,35010.0,11960.0,45520.0,65.5,21.8,12.7
010330102,Valserhône,Centre Ville,42.0,31.0,11280.0,19870.0,30050.0,5250.0,44820.0,74.1,23.0,2.9
010330103,Valserhône,Lancrans-Coupy-Vanchy,49.0,23.0,14480.0,24250.0,37150.0,7390.0,52060.0,76.1,20.6,3.3
010330201,Valserhône,Arc Vouvray-Gare-Châtillon,50.0,19.0,16680.0,26260.0,38330.0,8940.0,57920.0,71.9,24.6,3.5
010330202,Valserhône,Plateau de Musinens,40.0,36.0,10810.0,18380.0,28270.0,5630.0,42550.0,68.1,30.3,1.6
010330301,Valserhône,Arlod,39.0,27.0,13000.0,21760.0,32830.0,7590.0,45980.0,79.8,18.7,1.5
010330401,Valserhône,Châtillon-en-Michaille,53.0,12.0,20080.0,29300.0,41880.0,13120.0,58590.0,77.5,17.6,4.9
010340101,Belley,Ouest,55.0,15.0,17410.0,22830.0,29950.0,11290.0,40250.0,63.0,31.6,5.4
010340102,Belley,Centre et Est,46.0,27.0,13090.0,19930.0,28100.0,7300.0,38940.0,60.0,36.1,3.9
010340103,Belley,Sud-Ouest,41.0,39.0,9480.0,16790.0,25000.0,5050.0,36470.0,61.1,33.4,5.5
010530101,Bourg-en-Bresse,Centre Ville,49.0,31.0,11490.0,20210.0,30400.0,4740.0,43750.0,66.8,25.0,8.2
010530102,Bourg-en-Bresse,Champ de Foire,51.0,26.0,13160.0,21070.0,29710.0,6040.0,41610.0,58.1,38.9,3.0
010530103,Bourg-en-Bresse,Préfecture,53.0,25.0,13840.0,22900.0,33930.0,5340.0,48810.0,58.3,31.3,10.4
010530201,Bourg-en-Bresse,Citadelle,51.0,28.0,12870.0,20320.0,28970.0,7210.0,40310.0,63.7,32.9,3.4
010530202,Bourg-en-Bresse,Mail,37.0,45.0,7440.0,15040.0,23150.0,2090.0,32590.0,70.5,25.2,4.3
010530203,Bourg-en-Bresse,Peloux,49.0,27.0,13000.0,20530.0,28290.0,5500.0,39760.0,66.6,30.3,3.1
010530301,Bourg-en-Bresse,Gare,58.0,19.0,16200.0,23880.0,33570.0,7900.0,51280.0,65.6,29.2,5.2
010530302,Bourg-en-Bresse,Brou,48.0,31.0,11250.0,19500.0,27640.0,5840.0,40390.0,64.0,31.3,4.7
010530401,Bourg-en-Bresse,Vennes Ouest,47.0,31.0,11460.0,19490.0,28220.0,6940.0,37850.0,64.7,33.4,1.9
010530402,Bourg-en-Bresse,Vennes Est,61.0,18.0,17180.0,24140.0,31200.0,10360.0,40890.0,61.5,35.8,2.7
010530501,Bourg-en-Bresse,Baudières,59.0,19.0,16210.0,24610.0,32630.0,9680.0,44650.0,51.5,43.5,5.0
010530502,Bourg-en-Bresse,Sardières,50.0,27.0,12720.0,21070.0,30520.0,7220.0,44180.0,60.7,33.3,6.0
010530503,Bourg-en-Bresse,Croix Blanche,25.0,58.0,6120.0,11970.0,18270.0,1010.0,25780.0,71.0,26.5,2.5
010530601,Bourg-en-Bresse,Pont des Chèvres,33.0,49.0,7430.0,14050.0,21740.0,2000.0,29410.0,58.1,40.1,1.8
010530602,Bourg-en-Bresse,Reyssouze Ouest,31.0,55.0,7000.0,12090.0,19650.0,2430.0,26240.0,58.0,39.5,2.5
010530603,Bourg-en-Bresse,Reyssouze Est,19.0,63.0,6280.0,10560.0,16850.0,610.0,22730.0,65.9,33.7,0.4
010530604,Bourg-en-Bresse,Cenord-Grand Challes,55.0,23.0,14290.0,21630.0,29250.0,4430.0,38130.0,55.3,41.0,3.7
010530701,Bourg-en-Bresse,Granges Bardes-Alagnier,52.0,21.0,14700.0,21760.0,28580.0,7970.0,37140.0,65.8,27.1,7.1
011430101,Divonne-les-Bains,Centre,63.0,11.0,25890.0,47480.0,77670.0,12860.0,114310.0,80.3,16.0,3.7
011430102,Divonne-les-Bains,Nord-Ouest,64.0,10.0,29850.0,55310.0,90200.0,13690.0,132220.0,83.6,12.2,4.2
011430103,Divonne-les-Bains,Sud-Ouest,65.0,11.0,25170.0,49260.0,84600.0,13120.0,121050.0,80.2,13.2,6.6
011600101,Ferney-Voltaire,Ouest,41.0,27.0,11770.0,28770.0,50900.0,10.0,78740.0,79.6,16.5,3.9
011600102,Ferney-Voltaire,Centre,48.0,26.0,13220.0,33780.0,59810.0,80.0,90350.0,69.8,22.4,7.8
011600103,Ferney-Voltaire,Est,39.0,40.0,8150.0,19400.0,41610.0,30.0,71070.0,90.2,8.5,1.3
011730101,Gex,Centre,55.0,18.0,17190.0,31090.0,51180.0,7290.0,78350.0,86.2,10.4,3.4
011730102,Gex,Ouest,63.0,13.0,21220.0,37400.0,58320.0,11000.0,83560.0,84.5,11.9,3.6
011730103,Gex,Est,61.0,13.0,22910.0,42080.0,62520.0,11650.0,86740.0,88.3,9.6,2.1
011940101,Jassans-Riottier,Nord,53.0,19.0,15560.0,22950.0,30070.0,9270.0,39140.0,66.7,30.5,2.8
011940102,Jassans-Riottier,Sud,63.0,13.0,18740.0,26000.0,35520.0,11840.0,46310.0,70.1,25.0,4.9
012020101,Lagnieu,Nord,58.0,14.0,18050.0,24750.0,32740.0,11830.0,43050.0,69.1,26.9,4.0
012020102,Lagnieu,Sud,53.0,17.0,16440.0,22970.0,30540.0,10450.0,40960.0,67.3,28.9,3.8
012440101,Meximieux,L'Horloge,59.0,14.0,17800.0,25700.0,35130.0,11310.0,45330.0,71.7,24.4,3.9
012440102,Meximieux,La Colline,50.0,22.0,14820.0,21490.0,30160.0,9130.0,40070.0,70.2,24.2,5.6
012440103,Meximieux,L'Étang,63.0,11.0,18710.0,26710.0,34310.0,12160.0,45260.0,79.8,17.6,2.6
012490101,Miribel,Est,64.0,11.0,19580.0,26290.0,35180.0,12880.0,46720.0,75.9,19.6,4.5
012490102,Miribel,Centre,59.0,20.0,15630.0,24460.0,34480.0,8320.0,46430.0,69.2,27.0,3.8
012490103,Miribel,Ouest,71.0,8.0,22070.0,30460.0,40300.0,15050.0,53840.0,77.1,17.3,5.6
