insee_commune_id,commune_name_upper,commune_name,has_crime_data,has_revenu_data
01001,ABERGEMENT CLEMENCIAT,Abergement-Clémenciat,False,False
01002,ABERGEMENT DE VAREY,Abergement-de-Varey,False,False
01004,AMBERIEU EN BUGEY,Ambérieu-en-Bugey,True,True
01005,AMBERIEUX EN DOMBES,Ambérieux-en-Dombes,True,False
01006,AMBLEON,Ambléon,False,False
01007,AMBRONAY,Ambronay,True,False
01008,AMBUTRIX,Ambutrix,True,False
01009,ANDERT ET CONDON,Andert-et-Condon,False,False
01010,ANGLEFORT,Anglefort,True,False
01011,APREMONT,Apremont,False,False
01012,ARANC,Aranc,False,False
01013,ARANDAS,Arandas,False,False
01014,ARBENT,Arbent,True,False
01015,ARBOYS EN BUGEY,Arboys en Bugey,False,False
01016,ARBIGNY,Arbigny,False,False
01017,ARGIS,Argis,False,False
01019,ARMIX,Armix,False,False
01021,ARS SUR FORMANS,Ars-sur-Formans,True,False
01022,ARTEMARE,Artemare,True,False
01023,ASNIERES SUR SAONE,Asnières-sur-Saône,False,False
01024,ATTIGNAT,Attignat,True,False
01025,BAGE DOMMARTIN,Bâgé-Dommartin,True,False
01026,BAGE LE CHATEL,Bâgé-le-Châtel,True,False
01027,BALAN,Balan,True,False
01028,BANEINS,Baneins,False,False
01029,BEAUPONT,Beaupont,False,False
01030,BEAUREGARD,Beauregard,True,False
01031,BELLIGNAT,Bellignat,True,False
01032,BELIGNEUX,Béligneux,True,False
01033,VALSERHONE,Valserhône,True,True
01034,BELLEY,Belley,True,True
01035,BELLEYDOUX,Belleydoux,False,False
01036,VALROMEY SUR SERAN,Valromey-sur-Séran,True,False
01037,BENONCES,Bénonces,False,False
01038,BENY,Bény,True,False
01040,BEREZIAT,Béréziat,False,False
01041,BETTANT,Bettant,False,False
01042,BEY,Bey,False,False
01043,BEYNOST,Beynost,True,False
01044,BILLIAT,Billiat,True,False
01045,BIRIEUX,Birieux,False,False
01046,BIZIAT,Biziat,True,False
01047,BLYES,Blyes,True,False
01049,BOISSE,Boisse,True,False
01050,BOISSEY,Boissey,False,False
01051,BOLOZON,Bolozon,False,False
01052,BOULIGNEUX,Bouligneux,False,False
01053,BOURG EN BRESSE,Bourg-en-Bresse,True,True
01054,BOURG SAINT CHRISTOPHE,Bourg-Saint-Christophe,True,False
01056,BOYEUX SAINT JEROME,Boyeux-Saint-Jérôme,False,False
01057,BOZ,Boz,False,False
01058,BREGNIER CORDON,Brégnier-Cordon,True,False
01060,BRENOD,Brénod,False,False
01061,BRENS,Brens,True,False
01062,BRESSOLLES,Bressolles,False,False
01063,BRION,Brion,True,False
01064,BRIORD,Briord,True,False
01065,BUELLAS,Buellas,True,False
01066,BURBANCHE,Burbanche,False,False
01067,CEIGNES,Ceignes,True,False
01068,CERDON,Cerdon,True,False
01069,CERTINES,Certines,True,False
01071,CESSY,Cessy,True,False
01072,CEYZERIAT,Ceyzériat,True,False
01073,CEYZERIEU,Ceyzérieu,True,False
01074,CHALAMONT,Chalamont,True,False
01075,CHALEINS,Chaleins,True,False
01076,CHALEY,Chaley,False,False
01077,CHALLES LA MONTAGNE,Challes-la-Montagne,False,False
01078,CHALLEX,Challex,True,False
01079,CHAMPAGNE EN VALROMEY,Champagne-en-Valromey,False,False
01080,CHAMPDOR CORCELLES,Champdor-Corcelles,False,False
01081,CHAMPFROMIER,Champfromier,False,False
01082,CHANAY,Chanay,False,False
01083,CHANEINS,Chaneins,True,False
01084,CHANOZ CHATENAY,Chanoz-Châtenay,False,False
01085,CHAPELLE DU CHATELARD,Chapelle-du-Châtelard,False,False
01087,CHARIX,Charix,False,False
01088,CHARNOZ SUR AIN,Charnoz-sur-Ain,True,False
01089,CHATEAU GAILLARD,Château-Gaillard,True,False
01090,CHATENAY,Châtenay,False,False
01092,CHATILLON LA PALUD,Châtillon-la-Palud,True,False
01093,CHATILLON SUR CHALARONNE,Châtillon-sur-Chalaronne,True,False
01094,CHAVANNES SUR REYSSOUZE,Chavannes-sur-Reyssouze,False,False
01095,NIVIGNE ET SURAN,Nivigne et Suran,False,False
01096,CHAVEYRIAT,Chaveyriat,True,False
01098,CHAZEY BONS,Chazey-Bons,True,False
01099,CHAZEY SUR AIN,Chazey-sur-Ain,True,False
01100,CHEIGNIEU LA BALME,Cheignieu-la-Balme,False,False
01101,CHEVILLARD,Chevillard,False,False
01102,CHEVROUX,Chevroux,True,False
01103,CHEVRY,Chevry,True,False
01104,CHEZERY FORENS,Chézery-Forens,False,False
01105,CIVRIEUX,Civrieux,True,False
01106,CIZE,Cize,False,False
01107,CLEYZIEU,Cleyzieu,False,False
01108,COLIGNY,Coligny,True,False
01109,COLLONGES,Collonges,True,False
01110,COLOMIEU,Colomieu,False,False
01111,CONAND,Conand,False,False
01112,CONDAMINE,Condamine,False,False
01113,CONDEISSIAT,Condeissiat,False,False
01114,CONFORT,Confort,False,False
01115,CONFRANCON,Confrançon,True,False
01116,CONTREVOZ,Contrevoz,False,False
01117,CONZIEU,Conzieu,False,False
01118,CORBONOD,Corbonod,True,False
01121,CORLIER,Corlier,False,False
01123,CORMORANCHE SUR SAONE,Cormoranche-sur-Saône,True,False
01124,CORMOZ,Cormoz,False,False
01125,CORVEISSIAT,Corveissiat,False,False
01127,COURMANGOUX,Courmangoux,False,False
01128,COURTES,Courtes,False,False
01129,CRANS,Crans,False,False
01130,BRESSE VALLONS,Bresse Vallons,True,False
01133,CRESSIN ROCHEFORT,Cressin-Rochefort,False,False
01134,CROTTET,Crottet,True,False
01135,CROZET,Crozet,True,False
01136,CRUZILLES LES MEPILLAT,Cruzilles-lès-Mépillat,True,False
01138,CULOZ BEON,Culoz-Béon,True,False
01139,CURCIAT DONGALON,Curciat-Dongalon,False,False
01140,CURTAFOND,Curtafond,False,False
01141,CUZIEU,Cuzieu,False,False
01142,DAGNEUX,Dagneux,True,False
01143,DIVONNE LES BAINS,Divonne-les-Bains,True,True
01145,DOMPIERRE SUR VEYLE,Dompierre-sur-Veyle,True,False
01146,DOMPIERRE SUR CHALARONNE,Dompierre-sur-Chalaronne,False,False
01147,DOMSURE,Domsure,False,False
01148,DORTAN,Dortan,True,False
01149,DOUVRES,Douvres,True,False
01150,DROM,Drom,False,False
01151,DRUILLAT,Druillat,True,False
01152,ECHALLON,Échallon,False,False
01153,ECHENEVEX,Échenevex,True,False
01155,EVOSGES,Évosges,False,False
01156,FARAMANS,Faramans,False,False
01157,FAREINS,Fareins,True,False
01158,FARGES,Farges,True,False
01159,FEILLENS,Feillens,True,False
01160,FERNEY VOLTAIRE,Ferney-Voltaire,True,True
01162,FLAXIEU,Flaxieu,False,False
01163,FOISSIAT,Foissiat,True,False
01165,FRANCHELEINS,Francheleins,True,False
01166,FRANS,Frans,True,False
01167,GARNERANS,Garnerans,False,False
01169,GENOUILLEUX,Genouilleux,True,False
01170,BEARD GEOVREISSIAT,Béard-Géovreissiat,True,False
01171,GEOVREISSET,Géovreisset,True,False
01173,GEX,Gex,True,True
01174,GIRON,Giron,False,False
01175,GORREVOD,Gorrevod,True,False
01177,GRAND CORENT,Grand-Corent,False,False
01179,GRIEGES,Grièges,True,False
01180,GRILLY,Grilly,True,False
01181,GROISSIAT,Groissiat,True,False
01183,GUEREINS,Guéreins,True,False
01184,HAUTECOURT ROMANECHE,Hautecourt-Romanèche,False,False
01185,PLATEAU D HAUTEVILLE,Plateau d'Hauteville,True,False
01187,HAUT VALROMEY,Haut Valromey,True,False
01188,ILLIAT,Illiat,False,False
01189,INJOUX GENISSIAT,Injoux-Génissiat,True,False
01190,INNIMOND,Innimond,False,False
01191,IZENAVE,Izenave,False,False
01192,IZERNORE,Izernore,True,False
01193,IZIEU,Izieu,False,False
01194,JASSANS RIOTTIER,Jassans-Riottier,True,True
01195,JASSERON,Jasseron,True,False
01196,JAYAT,Jayat,True,False
01197,JOURNANS,Journans,False,False
01198,JOYEUX,Joyeux,False,False
01199,JUJURIEUX,Jujurieux,True,False
01200,LABALME,Labalme,False,False
01202,LAGNIEU,Lagnieu,True,True
01203,LAIZ,Laiz,True,False
01204,POIZAT LALLEYRIAT,Poizat-Lalleyriat,False,False
01206,LANTENAY,Lantenay,False,False
01207,LAPEYROUSE,Lapeyrouse,False,False
01208,LAVOURS,Lavours,False,False
01209,LEAZ,Léaz,True,False
01210,LELEX,Lélex,True,False
01211,LENT,Lent,True,False
01212,LESCHEROUX,Lescheroux,False,False
01213,LEYMENT,Leyment,True,False
01214,LEYSSARD,Leyssard,False,False
01215,SURJOUX LHOPITAL,Surjoux-Lhopital,False,False
01216,LHUIS,Lhuis,True,False
01219,LOMPNAS,Lompnas,False,False
01224,LOYETTES,Loyettes,True,False
01225,LURCY,Lurcy,False,False
01227,MAGNIEU,Magnieu,False,False
01228,MAILLAT,Maillat,True,False
01229,MALAFRETAZ,Malafretaz,True,False
01230,MANTENAY MONTLIN,Mantenay-Montlin,False,False
01231,MANZIAT,Manziat,True,False
01232,MARBOZ,Marboz,True,False
01233,MARCHAMP,Marchamp,False,False
01234,MARIGNIEU,Marignieu,False,False
01235,MARLIEUX,Marlieux,True,False
