insee_commune_id,commune_name,population_total,density_class,density_label,count_agriculture,count_industry,count_construction,count_commercial_services,count_public_services,total_count
01004,Ambérieu-en-Bugey,16339.0,2.0,Urbain intermédiaire,2.0,33.0,57.0,411.0,89.0,592.0
01033,Valserhône,17031.0,2.0,Urbain intermédiaire,4.0,39.0,95.0,328.0,59.0,525.0
01034,Belley,9695.0,2.0,Urbain intermédiaire,4.0,41.0,46.0,258.0,56.0,405.0
01053,Bourg-en-Bresse,43961.0,2.0,Urbain intermédiaire,5.0,96.0,104.0,1517.0,304.0,2026.0
01143,Divonne-les-Bains,10683.0,2.0,Urbain intermédiaire,3.0,8.0,9.0,195.0,33.0,248.0
01160,Ferney-Voltaire,12235.0,2.0,Urbain intermédiaire,1.0,9.0,14.0,273.0,49.0,346.0
01173,Gex,13912.0,2.0,Urbain intermédiaire,1.0,12.0,23.0,139.0,34.0,209.0
01194,Jassans-Riottier,6342.0,2.0,Urbain intermédiaire,1.0,29.0,31.0,100.0,13.0,174.0
01202,Lagnieu,7524.0,2.0,Urbain intermédiaire,4.0,15.0,32.0,126.0,24.0,201.0
01244,Meximieux,8388.0,2.0,Urbain intermédiaire,0.0,19.0,34.0,225.0,34.0,312.0
01249,Miribel,10520.0,2.0,Urbain intermédiaire,8.0,65.0,39.0,223.0,35.0,370.0
01262,Montluel,7083.0,2.0,Urbain intermédiaire,7.0,22.0,25.0,125.0,35.0,214.0
01283,Oyonnax,22923.0,2.0,Urbain intermédiaire,2.0,119.0,94.0,518.0,100.0,833.0
01289,Péronnas,6690.0,2.0,Urbain intermédiaire,0.0,26.0,36.0,152.0,35.0,249.0
01354,Saint-Genis-Pouilly,14673.0,2.0,Urbain intermédiaire,0.0,24.0,38.0,279.0,42.0,383.0
01427,Trévoux,7181.0,2.0,Urbain intermédiaire,0.0,41.0,41.0,156.0,39.0,277.0
01451,Viriat,7235.0,2.0,Urbain intermédiaire,9.0,33.0,44.0,268.0,26.0,380.0
03023,Bellerive-sur-Allier,9171.0,2.0,Urbain intermédiaire,1.0,13.0,18.0,195.0,36.0,263.0
03082,Commentry,6179.0,3.0,Rural périurbain,1.0,20.0,16.0,78.0,23.0,138.0
03095,Cusset,13822.0,2.0,Urbain intermédiaire,7.0,38.0,85.0,298.0,64.0,492.0
